id,amountInBucket,inheritedFromLastWeek,amountToDeduct
223,19000,True,0
224,19000,True,0
225,19000,True,0
226,20000,True,0
227,21000,True,0
228,22000,True,0
229,23000,True,0
230,24000,True,0
231,25000,True,0
232,26000,True,0
233,27000,True,0
234,28000,True,0
235,29000,True,0
236,30000,True,0
237,31000,True,0
238,32000,True,0
239,33000,True,0
240,34000,True,0
241,35000,True,0
242,36000,True,0
243,37000,True,0
244,38000,True,0
245,39000,True,0
246,39000,True,0
247,39000,True,0
248,39000,True,0
249,39000,True,0
250,39000,True,0
251,39000,True,0
252,39000,True,0
253,39000,True,0
254,39000,True,0
255,39000,True,0
256,39000,True,0
257,39000,True,0
258,39000,True,0
259,39000,True,0
260,39000,True,0
261,39000,True,0
262,39000,True,0
263,39000,True,0
264,39000,True,0
265,39000,True,0
266,39000,True,0
267,39000,True,0
268,39000,True,0
269,39000,True,0
270,39000,True,0
271,39000,True,0
272,39000,True,0
273,39000,True,0
274,39000,True,0
275,39000,True,0
276,39000,True,0
277,39000,True,0
278,39000,True,0
279,39000,True,0
280,39000,True,0
281,39000,True,0
282,39000,True,0
283,39000,True,0
284,39000,True,0
285,39000,True,0
286,39000,True,0
287,39000,True,0
288,39000,True,0
289,39000,True,0
290,39000,True,0
291,39000,True,0
292,39000,True,0
293,39000,True,0
294,39000,True,0
295,39000,True,0
296,39000,True,0
297,39000,True,0
298,39000,True,0
299,39000,True,0
300,39000,True,0
301,39000,True,0
302,39000,True,0
303,39000,True,0
304,39000,True,0
305,39000,True,0
306,39000,True,0
307,39000,True,0
308,39000,True,0
309,39000,True,0
310,39000,True,0
